Deer_ID,Collar_ID,Proximity_ID,Capture_Date,Recapture_Date_1,Recapture_Date_2,Recapture_Date_3,Sex,Age,Date_Censored,Censor_Event
AD001,87969,30969,2021-12-17T00:00:00Z,2022-01-10,NA,NA,F,Yearling,2022-02-16,Remote Drop
AD002,87238,30238,2021-12-17T00:00:00Z,2022-01-26,2022-02-12,NA,F,Fawn,2022-02-15,Mortality
AD003,87970,30970,2021-12-17T00:00:00Z,NA,NA,NA,F,Adult,2023-11-29,Battery Died
AD004,87983,30983,2021-12-17T00:00:00Z,NA,NA,NA,M,Adult,2022-11-07,Mortality
AD005,87239,30239,2021-12-17T00:00:00Z,2021-12-21,NA,NA,F,Fawn,2021-12-21,Mortality
AD006,87968,30968,2021-12-17T00:00:00Z,NA,NA,NA,M,Fawn,2022-01-13,Mortality
AD007,87972,30972,2021-12-18T00:00:00Z,NA,NA,NA,M,Fawn,2022-04-03,Mortality
AD008,87971,30971,2021-12-19T00:00:00Z,NA,NA,NA,F,Yearling,2021-12-28,Mortality
AD009,87973,30973,2021-12-19T00:00:00Z,NA,NA,NA,F,Fawn,2021-12-21,Slipped Collar
AD010,87967,30967,2021-12-19T00:00:00Z,2022-01-11,2022-01-27,NA,F,Adult,2022-10-07,Collar Failure
AD011,87974,30974,2021-12-19T00:00:00Z,2022-01-12,NA,NA,F,Adult,2022-03-11,Remote Drop
AD012,87965,30965,2021-12-19T00:00:00Z,2022-02-09,NA,NA,F,Adult,2023-12-17,Dropped on Schedule
AD013,87966,30966,2021-12-19T00:00:00Z,NA,NA,NA,F,Adult,2022-03-14,Mortality
AD014,87984,30984,2021-12-20T00:00:00Z,2022-12-19,NA,NA,M,Adult,2022-09-03,Broke Failsafe
AD015,87955,30955,2021-12-21T00:00:00Z,NA,NA,NA,F,Adult,2021-12-22,Mortality
AD016,89853,30853,2021-12-22T00:00:00Z,2022-01-12,NA,NA,F,Adult,2023-12-20,Dropped on Schedule
AD017,87239,30239,2021-12-22T00:00:00Z,2022-01-14,NA,NA,F,Fawn,2022-02-05,Mortality
AD018,89847,30847,2021-12-22T00:00:00Z,2022-01-19,NA,NA,M,Fawn,2022-03-16,Mortality
AD019,NA,NA,2022-01-10T00:00:00Z,NA,NA,NA,F,Fawn,NA,Released Uncollared
AD020,89849,30849,2022-01-10T00:00:00Z,NA,NA,NA,F,Adult,2023-11-19,Battery Died
AD021,89845,30845,2022-01-10T00:00:00Z,NA,NA,NA,M,Adult,2022-01-31,Slipped Collar
AD022,87982,30982,2022-01-11T00:00:00Z,2022-01-20,2022-01-25,2022-01-29,M,Adult,2022-04-08,Mortality
AD023,87956,30956,2022-01-11T00:00:00Z,NA,NA,NA,F,Fawn,2022-02-19,Mortality
AD024,87958,30958,2022-01-12T00:00:00Z,NA,NA,NA,F,Fawn,2022-01-13,Mortality
AD025,89850,30850,2022-01-13T00:00:00Z,NA,NA,NA,M,Fawn,2022-01-14,Mortality
AD026,87979,30979,2022-01-14T00:00:00Z,NA,NA,NA,M,Adult,2022-01-15,Mortality
AD027,89846,30846,2022-01-14T00:00:00Z,NA,NA,NA,M,Fawn,2022-07-04,Slipped Collar
AD028,NA,NA,2022-01-14T00:00:00Z,NA,NA,NA,F,Fawn,NA,Released Uncollared
AD029,NA,NA,2022-01-14T00:00:00Z,NA,NA,NA,M,Fawn,NA,Released Uncollared
AD030,87976,30976,2022-01-22T00:00:00Z,NA,NA,NA,M,Adult,2022-01-30,Slipped Collar
AD031,NA,NA,2022-01-23T00:00:00Z,NA,NA,NA,F,Fawn,NA,Released Uncollared
AD032,89852,30852,2022-01-26T00:00:00Z,NA,NA,NA,F,Fawn,2022-01-26,Mortality
AD033,87959,30959,2022-01-26T00:00:00Z,NA,NA,NA,F,Adult,2022-03-20,Mortality
AD034,87957,30957,2022-01-29T00:00:00Z,NA,NA,NA,F,Fawn,2023-09-18,Remote Drop
AD035,87975,30975,2022-01-30T00:00:00Z,NA,NA,NA,M,Adult,2022-11-08,Broke Failsafe
AD036,NA,NA,2022-02-01T00:00:00Z,NA,NA,NA,M,Fawn,NA,Released Uncollared
AD037,89848,30848,2022-02-01T00:00:00Z,2022-02-05,NA,NA,M,Adult,2022-06-23,Collar Failure
AD038,87960,30960,2022-02-01T00:00:00Z,NA,NA,NA,F,Fawn,2022-03-23,Mortality
AD039,89843,30843,2022-02-01T00:00:00Z,2022-03-18,NA,NA,F,Fawn,2022-10-04,Slipped Collar
AD040,87961,30961,2022-02-01T00:00:00Z,NA,NA,NA,F,Adult,2022-02-07,Mortality
AD041,87964,30964,2022-02-02T00:00:00Z,NA,NA,NA,F,Adult,2024-02-01,Dropped on Schedule
AD042,89851,30851,2022-02-02T00:00:00Z,NA,NA,NA,F,Fawn,2024-02-01,Dropped on Schedule
AD043,NA,NA,2022-02-02T00:00:00Z,NA,NA,NA,M,Adult,NA,Released Uncollared
AD044,87963,30963,2022-02-05T00:00:00Z,NA,NA,NA,F,Adult,2024-01-15,Battery Died
AD045,87955,30955,2022-02-06T00:00:00Z,NA,NA,NA,F,Adult,2024-02-04,Battery Died
AD046,87971,30971,2022-02-06T00:00:00Z,NA,NA,NA,F,Adult,2023-05-06,Mortality
AD047,89844,30844,2022-02-07T00:00:00Z,NA,NA,NA,M,Fawn,2022-12-20,Mortality
AD048,87958,30958,2022-02-07T00:00:00Z,2022-12-18,NA,NA,F,Fawn,2023-08-15,Battery Died
AD049,87973,30973,2022-02-07T00:00:00Z,NA,NA,NA,F,Adult,2024-02-05,Dropped on Schedule
AD050,89852,30852,2022-02-07T00:00:00Z,NA,NA,NA,F,Adult,2022-04-08,Mortality
AD051,87962,30962,2022-02-08T00:00:00Z,NA,NA,NA,F,Fawn,2022-02-17,Mortality
AD052,89842,30842,2022-02-09T00:00:00Z,NA,NA,NA,M,Adult,2022-11-11,Broke Failsafe
AD053,89845,30845,2022-02-09T00:00:00Z,NA,NA,NA,F,Adult,2023-09-04,Collar Failure
AD054,87239,30239,2022-02-10T00:00:00Z,NA,NA,NA,F,Yearling,2022-03-15,Mortality
AD055,87977,30977,2022-02-12T00:00:00Z,NA,NA,NA,F,Adult,2024-02-10,Dropped on Schedule
AD056,87968,30968,2022-02-12T00:00:00Z,2023-03-03,NA,NA,F,Adult,2023-04-25,Mortality
AD057,89850,30850,2022-02-12T00:00:00Z,NA,NA,NA,F,Fawn,2022-10-08,Mortality
AD058,NA,NA,2022-02-13T00:00:00Z,NA,NA,NA,M,Fawn,NA,Released Uncollared
AD059,87969,30969,2022-03-01T00:00:00Z,NA,NA,NA,F,Adult,2023-10-25,Mortality
AD060,89822,30822,2022-03-02T00:00:00Z,NA,NA,NA,F,Adult,2022-03-11,Mortality
AD061,87978,30978,2022-03-02T00:00:00Z,NA,NA,NA,F,Adult,2023-12-08,Mortality
AD062,89823,30823,2022-03-02T00:00:00Z,NA,NA,NA,F,Adult,2024-02-28,Dropped on Schedule
AD063,847,30847,2022-03-02T00:00:00Z,2022-03-04,NA,NA,F,Fawn,2022-05-23,Mortality
AD064,89826,30826,2022-03-02T00:00:00Z,2022-03-04,2022-03-13,NA,M,Adult,2022-03-30,Mortality
AD065,NA,NA,2022-03-03T00:00:00Z,NA,NA,NA,M,Yearling,NA,Released Uncollared
AD066,89825,30825,2022-03-03T00:00:00Z,NA,NA,NA,F,Adult,2023-10-21,Battery Died
